15238.Ho4C5  -7.472355 Ho_8 C_10 
155.Gd  -4.584344 Gd_2 
15603.HoB2C  -7.331153 Ho_8 B_16 C_8 
15604.TmB2C  -7.335962 Tm_8 B_16 C_8 
15644.DyB2C  -7.328149 Dy_8 B_16 C_8 
15707.TbB2C  -7.323481 Tb_8 B_16 C_8 
1632.NdB4  -6.870396 Nd_4 B_16 
1640.Ho2C  -6.388432 Ho_2 C_1 
16713.Pr2B5  -6.630821 Pr_8 B_20 
1774.ErB2  -6.592506 Er_1 B_2 
1800.Nd2C3  -7.592074 Nd_8 C_12 
18628.Dy5B2C5  -7.290848 Dy_20 B_8 C_20 
1929.NdB6  -6.890784 Nd_1 B_6 
1974.CeB4  -7.175050 Ce_4 B_16 
1994.HfB2  -8.801839 Hf_1 B_2 
20181.Ce2C3  -8.161441 Ce_8 C_12 
20410.Ho(BC)2  -7.720031 Ho_2 B_4 C_4 
2057.DyB2  -6.546760 Dy_1 B_2 
20908.Ce(BC)2  -7.982577 Ce_2 B_4 C_4 
21075.HfC -10.521869 Hf_1 C_1 
21343.CeB6  -7.105864 Ce_1 B_6 
22266.GdB6  -6.828589 Gd_1 B_6 
2267.HoB2  -6.569649 Ho_1 B_2 
242.SrB6  -6.430092 Sr_1 B_6 
2719.DyB4  -6.869228 Dy_4 B_16 
28366.Gd2B5  -6.694404 Gd_8 B_20 
2847.ErB4  -6.849548 Er_4 B_16 
28702.Gd2B3C2  -7.307381 Gd_2 B_3 C_2 
2958.Dy(BC)2  -7.727871 Dy_2 B_4 C_4 
29821.Gd4B3C4  -7.283401 Gd_4 B_3 C_4 
3582.Mg(BC)2  -6.824432 Mg_8 B_16 C_16 
38.Pr  -4.731789 Pr_4 
419.YbB6  -6.418555 Yb_1 B_6 
567332.Ce  -5.927685 Ce_2 
567415.Nd2B5  -6.652090 Nd_8 B_20 
567908.Lu4B3C4  -7.330834 Lu_4 B_3 C_4 
568143.TmB4  -6.837919 Tm_4 B_16 
568225.TbB4  -6.877862 Tb_4 B_16 
568541.Dy2B4C  -7.013983 Dy_2 B_4 C_1 
568803.Mg(B6C)2  -6.863781 Mg_2 B_24 C_4 
568966.NdBC  -7.249147 Nd_20 B_20 C_20 
569281.HoB4  -6.859056 Ho_4 B_16 
569335.Sm2C3  -7.603317 Sm_8 C_12 
570421.Sm2B5  -6.672597 Sm_8 B_20 
571495.LuB4  -6.809295 Lu_4 B_16 
5765.Nd(BC)2  -7.728518 Nd_2 B_4 C_4 
683.Pr2C3  -7.573505 Pr_8 C_12 
6916.Sm(BC)2  -7.732190 Sm_2 B_4 C_4 
692.Tb2C  -6.377841 Tb_2 C_1 
6996.SmB6  -6.858956 Sm_1 B_6 
800.TmB2  -6.611082 Tm_1 B_2 
8546.SmB4  -6.877819 Sm_4 B_16 
864790.Nd2BC  -6.645000 Nd_4 B_2 C_2 
8667.CeB2C  -7.666266 Ce_3 B_6 C_3 
866809.YbB2C  -6.398825 Yb_8 B_16 C_8 
86.Sm  -4.644966 Sm_3 
9546.Yb2C3  -6.256999 Yb_8 C_12 
954.BaB6  -6.427548 Ba_1 B_6 
965.TbB2  -6.522860 Tb_1 B_2 
972364.Yb  -1.463018 Yb_3 
